symbol	hgnc_id	chr	diagnostic_category	coding_sequence_variant	frameshift_variant	inframe_deletion	inframe_insertion	initiator_codon_variant	missense_variant	splice_acceptor_variant	splice_donor_variant	stop_gained	stop_lost	stop_retained_variant	synonymous_variant	PTV_enrichment_p	power_median	s_het	observed_full	expected_full	enrich_all_p_full	enrich_mis_p_full	cluster_p_full	denovoWEST_p_full	observed_ud	expected_ud	enrich_all_p_ud	enrich_mis_p_ud	cluster_p_ud	denovoWEST_p_ud	denovoWEST_p_ud_synmod	gnomad_oe_syn	significant
ARNT2	16876	15	none	0	0	0	0	0	2	0	0	0	0	0	0	0.18324468	0.847489451	0.039008118	0.400734625	0.437858812	1	0.351290527	0.242352758	0.294869549	0.197352725	0.34241467	1	1	NA	1	NA	NA	FALSE
GON4L	25973	1	none	0	0	0	0	0	4	0	0	0	0	0	1	0.434108698	0.999802311	0.114062371	0.99190685	1.084229402	1	0.27552859	0.309017691	0.294886746	0.853295	0.847889874	0.438067912	0.236395764	0.562612437	0.401313398	NA	NA	FALSE
MUC4	7514	3	none	0	0	0	0	0	6	0	0	0	0	0	2	0.642689179	0.999999989	NA	0.591043201	1.52676912	1	1	0.085194915	0.295014104	0.591043201	1.19396511	1	1	0.085409915	0.295543337	NA	NA	FALSE
NEIL2	18956	8	none	0	0	0	0	0	1	0	0	0	0	0	1	0.081941839	0.365396703	0.001990686	0.155334385	0.131128605	0.295024951	0.21621013	NA	0.295024951	0.155334385	0.102545288	0.231623704	0.16537855	NA	0.231623704	NA	NA	FALSE
MDM2	6973	12	none	0	0	0	0	0	1	0	0	0	0	0	1	0.139225241	0.620196198	0.029075729	0.2732768	0.213336148	0.29507519	0.170000718	NA	0.29507519	0.2732768	0.166833292	0.225114838	0.122724616	NA	0.225114838	NA	NA	FALSE
C3	1318	19	none	0	0	0	0	0	5	0	0	0	0	0	1	0.401614708	0.999185626	0.029591473	0.952029811	0.890127399	0.399100264	0.137815115	0.618556381	0.295140934	0.852945814	0.696098083	0.317065896	0.099952508	0.457173543	0.186701077	NA	NA	FALSE
PHLDA2	12385	11	none	0	0	0	0	0	1	0	0	0	0	0	1	0.028372611	0.020816145	0.003367189	0.2220386	0.143875986	0.295312897	0.277572264	NA	0.295312897	0.2220386	0.112514004	0.234951945	0.220480426	NA	0.234951945	NA	NA	FALSE
USP12	20485	13	none	0	0	0	0	0	1	0	0	0	0	0	0	0.099917666	0.325031404	0.060745442	0.292154	0.202400271	0.295397554	0.2149071	NA	0.295397554	0.292154	0.158281209	0.23048511	0.163556285	NA	0.23048511	NA	NA	FALSE
IFITM10	40022	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.056781496	0.159435894	NA	0.2090747	0.145040269	0.295433824	0.250204691	NA	0.295433824	0.2090747	0.113424498	0.233736526	0.196284104	NA	0.233736526	NA	NA	FALSE
ZNF768	26273	16	none	0	0	0	0	0	2	0	0	0	0	0	0	0.117197614	0.459582239	0.041447923	0.361850454	0.281446881	0.295461562	0.209519754	0.493112507	0.295461562	0.361850454	0.220097297	0.208028824	0.137832595	0.494202506	0.208028824	NA	NA	FALSE
LRP5	6697	11	discordant	0	0	0	0	0	3	0	0	0	0	0	1	0.336099916	0.990447327	0.057256874	0.675626894	1.18904149	1	1	0.085403915	0.295528575	0.5772059	0.9298551	1	1	0.012564987	0.067559941	NA	NA	FALSE
RSPO3	20866	6	none	0	0	0	0	0	0	0	0	1	0	0	0	0.005497144	0.348928518	0.020766661	0.2329954	0.175921126	0.295595345	1	NA	0.295595345	0.2329954	0.137573969	0.234939905	1	NA	0.234939905	NA	NA	FALSE
MEX3C	28040	18	none	0	0	0	0	0	0	0	0	1	0	0	0	0.009014221	0.564602755	0.207973447	0.8569589	0.637506811	0.295675135	1	NA	0.295675135	0.8569589	0.498543545	0.208831766	1	NA	0.208831766	NA	NA	FALSE
RINL	24795	19	none	0	0	0	0	0	3	0	0	0	0	0	0	0.15250617	0.703475374	0.021363518	0.363611301	0.311668216	0.341850464	0.206541847	0.413970586	0.295770458	0.265527305	0.243731007	0.363998444	0.258311692	0.268374732	0.254348151	NA	NA	FALSE
CDH7	1766	18	none	0	0	0	0	0	2	0	0	0	0	0	0	0.197561181	0.892582916	0.042596392	0.196167993	0.426134958	1	1	0.085503914	0.295774553	0.098083997	0.333246373	1	1	NA	1	NA	NA	FALSE
ZNF580	29473	19	none	0	0	0	0	0	1	0	0	0	0	0	1	0.03501662	0.040570572	NA	0.2161372	0.146074683	0.295809659	0.269512727	NA	0.295809659	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
CDC42BPA	1737	1	none	0	0	0	0	0	5	0	0	0	0	0	0	0.416016756	0.999557927	0.067270827	0.889362854	1.026197869	1	0.266384003	0.321060679	0.295827458	0.889362854	0.802508013	0.38739375	0.152292381	0.321751678	0.196781806	NA	NA	FALSE
ZFP91	14983	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.161272316	0.751551763	NA	0.6519894	0.460892042	0.295865448	0.213428856	NA	0.295865448	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
CABP2	1385	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.073599562	0.293194732	NA	0.2494665	0.166382274	0.295868411	0.243594969	NA	0.295868411	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
IGFLR1	23620	19	none	0	0	0	0	0	2	0	0	0	0	0	0	0.090976828	0.443815614	0.011476548	0.264540835	0.195820621	0.295956776	0.224452551	0.474744525	0.295956776	0.264540835	0.153135786	0.225511432	0.167669395	0.474529525	0.225511432	NA	NA	FALSE
ARL8A	25192	1	none	0	0	0	0	0	1	0	0	0	0	0	0	0.06990384	0.261968009	0.102020366	0.5435046	0.294600406	0.296023	0.261518905	NA	0.296023	0.5435046	0.230383627	0.238699602	0.210475082	NA	0.238699602	NA	NA	FALSE
MAGEB16	21188	X	none	0	0	0	0	0	1	0	0	0	0	0	0	0.051567346	0.1240579	NA	0.098083997	0.051867142	0.296164921	0.257181453	NA	0.296164921	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
NMS	32203	2	none	0	0	0	0	0	1	0	0	0	0	0	0	0.067139667	0.239131631	0.001793472	0.098083997	0.066879305	0.296284013	0.230277506	NA	0.296284013	0.098083997	0.052301003	0.240265849	0.185085729	NA	0.240265849	NA	NA	FALSE
PRKCSH	9411	19	none	0	0	0	0	0	2	0	0	0	0	0	1	0.156305864	0.725007428	0.010883631	0.365666297	0.316084776	0.350322591	0.216658382	0.395616604	0.296290085	0.099083997	0.247184849	1	1	NA	1	NA	NA	FALSE
LAYN	29471	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.103528472	0.35300163	0.011843737	0.2847172	0.200567524	0.296406569	0.202007482	NA	0.296406569	0.2847172	0.156847963	0.230456081	0.152469776	NA	0.230456081	NA	NA	FALSE
AKIRIN1	25744	1	none	0	0	0	0	0	1	0	0	0	0	0	0	0.06038133	0.185885896	0.28510141	0.4980585	0.301451718	0.296519545	0.231244113	NA	0.296519545	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
ZMYND12	21192	1	none	0	0	0	0	0	1	0	0	0	0	0	0	0.100743954	0.331405632	0.017666181	0.2616349	0.185996947	0.296550427	0.209923705	NA	0.296550427	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
HAPLN4	31357	19	none	0	0	0	0	0	2	0	0	0	0	0	0	0.109746563	0.4015776	0.037663978	0.492116102	0.368931707	0.296568878	0.207707808	0.845015155	0.296568878	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
CDC5L	1743	6	none	0	1	0	0	0	1	0	0	0	0	0	1	0.031773083	0.927831773	0.276360011	1.340248588	0.974419951	0.296576854	1	NA	0.296576854	1.340248588	0.762016607	0.203751917	1	NA	0.203751917	NA	NA	FALSE
CRTAP	2379	3	none	0	0	0	0	0	2	0	0	0	0	0	0	0.09820863	0.311909747	0.005329589	0.196167993	0.269910809	1	1	0.085843914	0.296610003	0.196167993	0.211075849	1	0.391484604	0.085676914	0.147412904	NA	NA	FALSE
MAGEA1	6796	X	none	0	0	0	0	0	1	0	0	0	0	0	0	0.050484242	0.117194752	0.071124623	0.098083997	0.050560248	0.296686411	0.259459427	NA	0.296686411	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
SYP	11506	X	discordant	0	0	0	0	0	1	0	0	0	0	0	1	0.064732951	0.219703112	0.167735204	0.321123893	0.215687912	0.296718014	0.24616036	NA	0.296718014	0.321123893	0.164280794	0.234091094	0.192616255	NA	0.234091094	NA	NA	FALSE
TGM6	16255	20	none	0	0	0	0	0	2	0	0	0	0	0	0	0.178850621	0.831022654	NA	0.370360797	0.379665503	1	0.290172288	0.295993704	0.296721105	0.098083997	0.296906296	1	1	NA	1	NA	NA	FALSE
ZC3H4	17808	19	none	0	0	0	0	0	3	0	0	0	0	0	4	0.315270924	0.992472345	0.499928343	0.686577507	1.384936791	1	1	0.085961914	0.296899638	0.297307326	1.083049288	1	1	NA	1	NA	NA	FALSE
PPEF1	9243	X	none	0	0	0	0	0	2	0	0	0	0	0	0	0.139037482	0.618934279	0.098570352	0.196167993	0.154915223	0.296922845	0.184011395	0.712869287	0.296922845	0.196167993	0.117992685	0.223904047	0.130873954	0.713215287	0.223904047	NA	NA	FALSE
NXPH3	8077	17	none	0	0	0	0	0	1	0	0	0	0	0	0	0.055573567	0.150913298	0.235616524	0.4640545	0.318602292	0.296927842	0.221368167	NA	0.296927842	0.4640545	0.249153599	0.231937857	0.168130684	NA	0.231937857	NA	NA	FALSE
HIST1H3D	4767	6	none	0	0	0	0	0	1	0	0	0	0	0	0	0.034941199	0.040301648	0.015596827	0.101447797	0.094349034	0.297159271	0.256209806	NA	0.297159271	0.101447797	0.073782901	0.238744127	0.204308772	NA	0.238744127	NA	NA	FALSE
NRBP1	7993	2	none	0	0	0	0	0	3	0	0	0	0	0	0	0.159698827	0.74333891	0.117458532	0.29425199	0.44443673	1	1	0.086111914	0.297267584	0.29425199	0.347558738	1	0.330283381	0.085516914	0.128989705	NA	NA	FALSE
RBM42	28117	19	none	0	0	0	0	0	2	0	0	0	0	0	0	0.113011962	0.427087044	0.038166726	0.490533986	0.423280068	0.353710548	0.295648277	0.291296709	0.297290771	0.490533986	0.33101379	0.27130612	0.224519104	0.291777708	0.244060042	NA	NA	FALSE
SPATA18	29579	4	none	0	0	0	0	0	2	0	0	0	0	0	0	0.163965239	0.765183265	0.004288097	0.227342158	0.293523252	1	0.359361445	0.23966876	0.297306322	0.129258161	0.229541269	1	1	NA	1	NA	NA	FALSE
KLRG1	6380	12	none	0	0	0	0	0	1	0	0	0	0	0	0	0.051126394	0.121242499	0.015980215	0.098083997	0.057897024	0.297406994	0.251156594	NA	0.297406994	0.098083997	0.045276673	0.241214973	0.202423169	NA	0.241214973	NA	NA	FALSE
EFR3A	28970	8	none	0	1	0	0	0	0	0	0	0	0	0	1	0.033085545	0.936320945	0.005264503	0.648014278	0.489271586	0.29741745	1	NA	0.29741745	0.647014278	0.382620525	0.221515986	1	NA	0.221515986	NA	NA	FALSE
VPREB1	12709	22	none	0	0	0	0	0	1	0	0	0	0	0	0	0.032828676	0.033190805	0.003809213	0.098083997	0.049830403	0.297751575	0.269290929	NA	0.297751575	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
FIBCD1	25922	9	none	0	0	0	0	0	3	0	0	0	0	0	1	0.117061848	0.458533609	0.001637588	0.458058372	0.430205254	0.391086953	0.309149292	0.279270721	0.297817623	0.458058372	0.336429429	0.293829603	0.224810985	0.279205721	0.236530695	NA	NA	FALSE
CFAP44	25631	3	none	0	1	0	0	0	3	0	0	0	0	0	1	0.112168501	0.999806264	0.010373416	1.049400914	0.826984888	0.297874829	1	0.714019286	0.297874829	1.049400914	0.64671933	0.184228511	0.379305269	0.713760286	0.184228511	NA	NA	FALSE
GZMM	4712	19	none	0	0	0	0	0	1	0	0	0	0	0	0	0.062033188	0.198504632	NA	0.132010403	0.110504465	0.297874946	0.241627082	NA	0.297874946	0.132010403	0.086416783	0.232627953	0.185017732	NA	0.232627953	NA	NA	FALSE
RPAP1	24567	15	none	0	0	0	0	0	3	0	0	1	0	0	2	0.057774302	0.993632651	0.006844546	0.921584954	0.721966627	0.297982284	1	0.269467731	0.297982284	0.259050154	0.564592872	1	1	0.521120479	0.860773268	NA	NA	FALSE
RPL10L	17976	14	none	0	0	0	0	0	1	0	0	0	0	0	0	0.053063371	0.133822493	0.010585323	0.184128975	0.127516042	0.298003645	0.240900925	NA	0.298003645	0.184128975	0.099720189	0.238129627	0.190091611	NA	0.238129627	NA	NA	FALSE
SP7	17321	12	none	0	0	0	0	0	1	0	0	0	0	0	0	0.089525672	0.431322811	0.299728922	0.4222635	0.305708239	0.298097064	0.215232058	NA	0.298097064	0.4222635	0.239070182	0.23272109	0.162782693	NA	0.23272109	NA	NA	FALSE
HSDL2	18572	9	none	0	0	0	0	0	1	0	0	0	0	0	0	0.104284122	0.358886657	0.007342143	0.2733526	0.177855185	0.298159717	0.233852711	NA	0.298159717	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
WDR82	28826	3	none	0	0	0	0	0	1	0	0	0	0	0	0	0.083699318	0.380722544	0.095207289	0.7056924	0.431398732	0.298488633	0.281208585	NA	0.298488633	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
OAT	8091	10	none	0	0	0	0	0	1	0	0	0	0	0	0	0.123569538	0.508211654	0.011742443	0.3009707	0.226268125	0.298490024	0.185534364	NA	0.298490024	0.3009707	0.176946365	0.229441053	0.13517296	NA	0.229441053	NA	NA	FALSE
CNIH2	28744	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.051793688	0.125514269	0.256212215	0.588205917	0.293646269	0.29865755	0.2643812	NA	0.29865755	0.588205917	0.229637471	0.241999562	0.213260724	NA	0.241999562	NA	NA	FALSE
C7orf57	22247	7	none	0	0	0	0	0	1	0	0	0	0	0	0	0.087795974	0.416360989	0.00198542	0.205621	0.172107527	0.298678957	0.207949925	NA	0.298678957	0.205621	0.134591655	0.231511606	0.156145652	NA	0.231511606	NA	NA	FALSE
MCUR1	21097	6	none	0	0	0	0	0	2	0	0	0	0	0	0	0.092331724	0.455420748	0.010262236	0.303978755	0.238575369	0.298827089	0.210612217	0.678910321	0.298827089	0.134742503	0.186570885	1	1	NA	1	NA	NA	FALSE
ACER3	16066	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.096482476	0.298755982	0.031732397	0.216093	0.159603087	0.298837829	0.208645605	NA	0.298837829	0.216093	0.124812924	0.238862057	0.16392147	NA	0.238862057	NA	NA	FALSE
DNAH12	2943	3	none	0	0	0	0	0	3	0	0	3	0	0	2	9.78E-06	0.475188026	0.002939026	1.854900924	1.529776008	0.298880605	1	0.798757201	0.298880605	0.7952129	1.196316559	1	1	NA	1	NA	NA	FALSE
KIFC2	29530	8	none	0	1	0	0	0	1	0	0	0	0	0	5	0.026432713	0.879688832	0.018047255	0.769155583	0.603818673	0.299010312	1	NA	0.299010312	0.768155583	0.472198723	0.19118042	1	NA	0.19118042	NA	NA	FALSE
RBL2	9894	16	none	0	0	0	0	0	1	0	0	1	0	0	1	0.036984563	0.956029871	0.029207748	0.7198143	0.554931247	0.299419028	1	NA	0.299419028	0.7198143	0.433967742	0.198124996	1	NA	0.198124996	NA	NA	FALSE
SPDEF	17257	6	none	0	0	0	0	0	1	0	0	0	0	0	0	0.079596569	0.344964843	0.094193297	0.3053795	0.215046598	0.299493486	0.236169571	NA	0.299493486	0.3053795	0.168170899	0.231035953	0.17816371	NA	0.231035953	NA	NA	FALSE
CRYBB3	2400	22	none	0	0	0	0	0	1	0	0	0	0	0	0	0.07093211	0.27058521	NA	0.245502	0.158896718	0.299538563	0.245299075	NA	0.299538563	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
DUSP13	19681	10	none	0	0	1	0	0	1	0	0	0	0	0	0	0.082976218	0.374417102	0.004373721	0.446093825	0.342656869	0.299580344	0.442549549	NA	0.299580344	0.198398825	0.267964777	1	1	NA	1	NA	NA	FALSE
MDFIC	28870	7	none	0	0	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	0.2978966	0.221366115	0.299856694	0.229008827	NA	0.299856694	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
TTC31	25759	2	none	0	0	0	0	0	2	0	0	0	0	0	0	0.159768369	0.743705752	0.004136094	0.220422994	0.25387584	1	0.291193313	0.299365701	0.299863679	0.220422994	0.198536171	0.325434279	0.217279797	0.298801701	0.242459973	NA	NA	FALSE
SHISAL2A	28757	1	none	0	0	0	0	0	1	0	0	0	0	0	0	0.041770036	0.068862598	0.000566796	0.103993852	0.099903124	0.299896651	0.26495577	NA	0.299896651	0.103993852	0.078126315	0.242147979	0.212791769	NA	0.242147979	NA	NA	FALSE
ICA1L	14442	2	none	0	0	0	0	0	1	0	0	0	0	0	0	0.127681019	0.538809079	0.001584836	0.295795	0.208917378	0.299916739	0.203403557	NA	0.299916739	0.295795	0.163377721	0.233497955	0.153821021	NA	0.233497955	NA	NA	FALSE
WASHC3	24256	12	none	0	0	0	0	0	1	0	0	0	0	0	0	0.05233253	0.129011682	0.006520446	0.098083997	0.085194792	0.299952963	0.261147117	NA	0.299952963	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
TFCP2L1	17925	2	none	0	0	0	0	0	2	0	0	0	0	0	0	0.156644694	0.726876176	0.377527136	0.85747346	0.600218343	0.299978935	0.160125614	0.868570131	0.299978935	0.85747346	0.46938319	0.220808286	0.105731763	0.868459132	0.220808286	NA	NA	FALSE
RABGGTB	9796	1	none	0	0	0	0	0	1	0	0	0	0	0	0	0.093364421	0.4642227	0.041206235	0.2711802	0.176317553	0.300047173	0.22491066	NA	0.300047173	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
CLIC5	13517	6	none	0	0	0	0	0	1	0	0	0	0	0	0	0.092739089	0.458897559	0.009763226	0.3059482	0.215619329	0.300126251	0.225188607	NA	0.300126251	0.3059482	0.168618787	0.230599895	0.16862863	NA	0.230599895	NA	NA	FALSE
ANGPT2	485	8	none	0	0	0	0	0	1	0	0	0	1	0	2	0.134107646	0.585033283	0.059494767	0.3079482	0.260004569	0.300131875	0.20871763	NA	0.300131875	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
FAM102B	27637	1	none	0	0	0	0	0	1	0	0	0	0	0	0	0.101601842	0.338041727	0.011933566	0.2983823	0.195073789	0.300151287	0.2252338	NA	0.300151287	0.2983823	0.152551748	0.236816976	0.174254815	NA	0.236816976	NA	NA	FALSE
FERMT3	23151	11	none	0	0	0	0	0	2	0	0	0	0	0	0	0.183048746	0.846782727	0.006504156	0.317722497	0.439282028	1	0.412728818	0.211499789	0.300153374	0.317722497	0.343527654	1	0.301088569	0.210941789	0.238584951	NA	NA	FALSE
TAAR5	30236	6	none	0	0	0	0	0	1	0	0	0	0	0	0	0.063475308	0.209744132	0.005561561	0.129258161	0.112211889	0.300158029	0.249908749	NA	0.300158029	0.129258161	0.087752024	0.238764854	0.196370122	NA	0.238764854	NA	NA	FALSE
RASGRP3	14545	2	none	0	0	0	0	0	2	0	0	0	0	0	0	0.179567048	0.833796569	0.050724939	0.410304801	0.333022465	0.319867951	0.190312054	0.459075541	0.300337572	0.410304801	0.260430473	0.235020962	0.127651172	0.459185541	0.224893583	NA	NA	FALSE
ALG14	28287	1	none	0	0	0	0	0	1	0	0	0	0	0	0	0.067594226	0.24285118	0.004762742	0.154564828	0.131872399	0.300356583	0.226439499	NA	0.300356583	0.154564828	0.10312695	0.241164264	0.179179781	NA	0.241164264	NA	NA	FALSE
CDC20B	24222	5	none	0	0	0	0	0	1	0	0	0	0	0	0	0.139547635	0.62235781	0.002244656	0.2886556	0.229747604	0.300389625	0.172101372	NA	0.300389625	0.2886556	0.17966739	0.222092939	0.116122578	NA	0.222092939	NA	NA	FALSE
PPP1R15B	14951	1	none	0	0	0	0	0	2	0	0	0	0	0	0	0.152592635	0.703977048	0.041515441	0.403169597	0.314052249	0.300418108	0.162946691	0.601497399	0.300418108	0.403169597	0.245595371	0.220700191	0.105502766	0.601360399	0.220700191	NA	NA	FALSE
OR51G2	15198	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.062301803	0.200582903	0.002504854	0.125650071	0.110398819	0.300529003	0.247215959	NA	0.300529003	0.125650071	0.086334166	0.238603496	0.193609053	NA	0.238603496	NA	NA	FALSE
LRR1	19742	14	none	0	0	0	0	0	1	0	0	0	0	0	0	0.104283147	0.358879058	0.002745811	0.2733526	0.198537685	0.300564048	0.204952029	NA	0.300564048	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
VIPAS39	20347	14	none	0	0	0	0	0	2	0	0	0	0	0	0	0.186717137	0.859597878	0.012548194	0.5003746	0.366212637	0.300571594	0.117807237	0.908150092	0.300571594	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
TMX1	15487	14	none	0	0	0	0	0	1	0	0	0	0	0	0	0.085621292	0.397467714	0.018767385	0.2071058	0.150847184	0.300616513	0.233386297	NA	0.300616513	0.2071058	0.117965626	0.239881498	0.183836825	NA	0.239881498	NA	NA	FALSE
BAIAP3	948	16	none	0	0	0	0	0	4	0	0	0	0	0	1	0.296292874	0.985754686	0.006967962	0.592740291	0.609661899	1	0.239220319	0.365945634	0.300761601	0.364429991	0.476768247	1	0.39560317	0.778582221	0.670729192	NA	NA	FALSE
BTD	1122	3	none	0	0	0	0	0	1	0	0	0	0	0	0	0.103824334	0.355304797	0.008084384	0.28032	0.210382699	0.300854797	0.225647145	NA	0.300854797	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
TIA1	11802	2	none	0	0	0	0	0	1	0	0	0	0	0	0	0.137990569	0.611857692	0.07024376	0.3038373	0.233291186	0.300947113	0.163352474	NA	0.300947113	0.3038373	0.182438545	0.231991568	0.117640478	NA	0.231991568	NA	NA	FALSE
THSD7A	22207	7	none	0	0	0	0	0	4	0	0	1	0	0	3	0.108929834	0.999748776	0.049610935	1.304471567	1.041334311	0.30094958	0.404198409	0.483099517	0.30094958	1.0959036	0.814345024	0.271087	1	0.776619223	0.271087	NA	NA	FALSE
HNRNPF	5039	10	none	0	0	0	0	0	1	0	0	0	0	0	1	0.081301347	0.359812675	0.289285423	0.31936537	0.256551054	0.300990804	0.229455751	NA	0.300990804	0.31836537	0.200628244	0.233001645	0.171614543	NA	0.233001645	NA	NA	FALSE
SNX4	11175	3	none	0	0	0	0	0	2	0	0	0	0	0	2	0.153040809	0.706568688	0.017167873	0.227757129	0.24575982	1	0.277411464	0.315970684	0.301034951	0.227757129	0.192189275	0.331909719	0.216511681	0.316171684	0.252022101	NA	NA	FALSE
GIF	4268	11	none	0	0	0	0	0	2	0	0	0	0	0	1	0.102395067	0.344192269	0.004003958	0.197167993	0.15419562	0.301118225	0.238194842	0.65029835	0.301118225	0.098083997	0.120584172	1	0.422735676	NA	1	NA	NA	FALSE
IPO4	19426	14	none	0	0	0	0	0	4	0	0	0	0	0	1	0.279278453	0.975605342	0.013597374	0.695706466	0.597252455	0.353067563	0.17983607	0.487705512	0.301164328	0.408395997	0.467063804	1	0.330938738	0.118568881	0.1662983	NA	NA	FALSE
UPK2	12579	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.049141976	0.108938269	0.000950054	0.104221375	0.100772972	0.301228427	0.265879271	NA	0.301228427	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
STK11IP	19184	2	none	0	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	0.745098275	0.575055725	0.301288763	1	NA	0.301288763	0.647014278	0.449705501	0.263538077	1	NA	0.263538077	NA	NA	FALSE
SMC1B	11112	22	none	0	0	0	0	0	3	0	0	1	0	0	2	0.060980748	0.987595985	0.057586818	0.793946271	0.612920849	0.301397071	1	0.929386071	0.301397071	0.695862274	0.479316813	0.259543913	1	0.875783124	0.259543913	NA	NA	FALSE
FTSJ3	17136	17	none	0	1	0	0	0	0	0	0	0	0	0	0	0.034016898	0.941724015	0.041087942	0.647014278	0.482142867	0.301433256	1	NA	0.301433256	0.647014278	0.377045719	0.215940546	1	NA	0.215940546	NA	NA	FALSE
APOC2	609	19	none	0	0	0	0	0	1	0	0	0	0	0	0	0.034195675	0.037699349	0.006614921	0.098083997	0.063597316	0.301588987	0.248075099	NA	0.301588987	0.098083997	0.04973442	0.244752417	0.199865462	NA	0.244752417	NA	NA	FALSE
CHMP6	25675	17	none	0	0	0	0	0	2	0	0	0	0	0	1	0.065495542	0.225808728	0.087664641	0.197167993	0.152921779	0.301589149	0.247620875	NA	0.301589149	0.197167993	0.119588002	0.236204453	0.189763891	NA	0.236204453	NA	NA	FALSE
GPR152	23622	11	none	0	0	0	0	0	1	0	0	0	0	0	1	0.09962956	0.322813241	0.004807716	0.2345245	0.198035402	0.30166815	0.225580507	NA	0.30166815	0.001	0.154867791	1	1	NA	1	NA	NA	FALSE
NIF3L1	13390	2	none	0	0	0	0	0	1	0	0	0	0	0	0	0.103730296	0.354572598	0.008831411	0.2901067	0.205201989	0.301698116	0.206668425	NA	0.301698116	0.2901067	0.160472211	0.235296144	0.156241146	NA	0.235296144	NA	NA	FALSE
PPIB	9255	15	none	0	0	1	0	0	0	0	0	0	0	0	0	0.055171951	0.14812159	0.010257501	0.198398825	0.137039184	0.301769932	1	NA	0.301769932	0.198398825	0.107167484	0.242195298	1	NA	0.242195298	NA	NA	FALSE
L2HGDH	20499	14	none	0	0	0	0	0	1	0	0	0	0	0	2	0.124815271	0.517556605	0.019703327	0.3079482	0.25957333	0.301802083	0.246470759	NA	0.301802083	0.3079482	0.202991727	0.221662583	0.183350591	NA	0.221662583	NA	NA	FALSE
SLC25A11	10981	17	none	0	0	0	0	0	1	0	0	0	0	0	0	0.085177462	0.393603681	0.036843236	0.2886556	0.203340476	0.301810269	0.243526989	NA	0.301810269	0.2886556	0.159016469	0.232311516	0.184720984	NA	0.232311516	NA	NA	FALSE
XAF1	30932	17	none	0	0	0	0	0	1	0	0	0	0	0	0	0.074486488	0.300782232	NA	0.143593787	0.13150629	0.301855729	0.209615518	NA	0.301855729	0.143593787	0.102840646	0.23505012	0.157160988	NA	0.23505012	NA	NA	FALSE
OR4D11	15174	11	none	0	0	0	0	0	1	0	0	0	0	0	1	0.052172109	0.127966017	0.008819451	0.099083997	0.083306508	0.30200044	0.393345738	NA	0.30200044	0.099083997	0.065147416	0.238053253	0.323522384	NA	0.238053253	NA	NA	FALSE
NPSR1	23631	7	none	0	0	0	0	0	1	0	0	0	0	0	0	0.120868293	0.487751227	NA	0.2793837	0.220565938	0.302169021	0.170602586	NA	0.302169021	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
TMPRSS12	28779	12	none	0	0	0	0	0	2	0	0	0	0	0	0	0.085417784	0.395696222	0.007693854	0.196167993	0.145811524	0.302215911	0.22885072	0.515921484	0.302215911	0.196167993	0.114027635	0.229533804	0.16794202	0.516081484	0.229533804	NA	NA	FALSE
MGMT	7059	10	none	0	0	0	0	0	1	0	0	0	0	0	0	0.0726468	0.285080405	0.00242085	0.145901404	0.128066439	0.302224863	0.223774036	NA	0.302224863	0.145901404	0.100150611	0.238733511	0.172578623	NA	0.238733511	NA	NA	FALSE
FNBP1L	20851	1	none	0	0	0	0	0	2	0	0	0	0	0	0	0.188367085	0.865079632	NA	0.5013751	0.36962344	0.302296874	0.150587062	0.902010098	0.302296874	0.5013751	0.289053194	0.220757198	0.098949181	0.901679098	0.220757198	NA	NA	FALSE
LYZL4	28387	3	none	0	0	0	0	0	1	0	0	0	0	0	0	0.039053371	0.056483683	0.008545745	0.098083997	0.059647704	0.3023292	0.26863574	NA	0.3023292	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
