Gene ID,Gene Symbol,Gene Name,Case PTV,Ctrl PTV,Case mis3,Ctrl mis3,Case mis2,Ctrl mis2,P ca/co (Class 1),P ca/co (Class 2),P ca/co (comb),De novo PTV,De novo mis3,De novo mis2,P de novo,P meta,Q meta,OR (PTV),OR (Class I),OR (Class II)
ENSG00000092199,HNRNPC,Heterogeneous nuclear ribonucleoprotein C (C1/C2),1,4,0,0,0,8,0.691,0.348,0.691,NA,NA,NA,NA,0.691,1,1 (0.0204-10.1),1 (0.0204-10.1),0 (0-2.35)
ENSG00000081177,EXD2,Exonuclease 3'-5' domain containing 2,8,28,0,0,0,0,0.691,NA,0.691,NA,NA,NA,NA,0.691,1,1.15 (0.452-2.58),1.15 (0.452-2.58),NA
ENSG00000261857,MIA,Melanoma inhibitory activity,3,9,0,0,0,0,0.691,NA,0.691,NA,NA,NA,NA,0.691,1,1.34 (0.233-5.36),1.34 (0.233-5.36),NA
ENSG00000122515,ZMIZ2,"Zinc finger, MIZ-type containing 2",1,9,0,0,0,0,0.691,NA,0.691,NA,NA,NA,NA,0.691,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000039139,DNAH5,"Dynein, axonemal, heavy chain 5",58,230,0,0,0,0,0.691,NA,0.691,NA,NA,NA,NA,0.691,1,1.01 (0.745-1.36),1.01 (0.745-1.36),NA
ENSG00000114805,PLCH1,"Phospholipase C, eta 1",9,29,0,0,0,0,0.691,NA,0.691,NA,NA,NA,NA,0.691,1,1.25 (0.519-2.7),1.25 (0.519-2.7),NA
ENSG00000179119,SPTY2D1,"SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)",3,10,0,0,0,0,0.691,NA,0.691,NA,NA,NA,NA,0.691,1,1.2 (0.213-4.68),1.2 (0.213-4.68),NA
ENSG00000156299,TIAM1,T-cell lymphoma invasion and metastasis 1,5,21,0,0,0,0,0.691,NA,0.691,NA,NA,NA,NA,0.691,1,0.956 (0.282-2.6),0.956 (0.282-2.6),NA
ENSG00000068784,SRBD1,S1 RNA binding domain 1,14,51,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,1.1 (0.563-2.02),1.1 (0.563-2.02),NA
ENSG00000197111,PCBP2,Poly(rC) binding protein 2,0,1,0,0,8,15,1,0.104,0.692,NA,NA,NA,NA,0.692,1,0 (0-156),0 (0-156),2.14 (0.786-5.38)
ENSG00000183647,ZNF530,Zinc finger protein 530,10,34,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,1.18 (0.52-2.44),1.18 (0.52-2.44),NA
ENSG00000180708,OR10K2,"Olfactory receptor, family 10, subfamily K, member 2",1,9,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000100442,FKBP3,"FK506 binding protein 3, 25kDa",1,10,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,0.401 (0.00925-2.82),0.401 (0.00925-2.82),NA
ENSG00000102760,RGCC,Regulator of cell cycle,0,1,0,0,1,0,1,0.105,0.692,NA,NA,NA,NA,0.692,1,0 (0-156),0 (0-156),Inf (0.103-Inf)
ENSG00000027075,PRKCH,"Protein kinase C, eta",3,10,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,1.2 (0.213-4.68),1.2 (0.213-4.68),NA
ENSG00000115486,GGCX,Gamma-glutamyl carboxylase,15,58,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,1.04 (0.546-1.86),1.04 (0.546-1.86),NA
ENSG00000166986,MARS,Methionyl-tRNA synthetase,17,62,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,1.1 (0.603-1.91),1.1 (0.603-1.91),NA
ENSG00000178234,GALNT11,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11),7,24,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,1.17 (0.426-2.8),1.17 (0.426-2.8),NA
ENSG00000122783,C7orf49,Chromosome 7 open reading frame 49,3,7,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,1.72 (0.287-7.54),1.72 (0.287-7.54),NA
ENSG00000121207,LRAT,Lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase),3,10,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,1.2 (0.213-4.68),1.2 (0.213-4.68),NA
ENSG00000113905,HRG,Histidine-rich glycoprotein,2,15,0,0,0,0,0.692,NA,0.692,NA,NA,NA,NA,0.692,1,0.535 (0.0594-2.3),0.535 (0.0594-2.3),NA
ENSG00000007202,KIAA0100,KIAA0100,15,69,0,0,3,19,0.788,0.58,0.693,NA,NA,NA,NA,0.693,1,0.872 (0.463-1.54),0.872 (0.463-1.54),0.634 (0.12-2.15)
ENSG00000182500,ORAI1,ORAI calcium release-activated calcium modulator 1,3,12,0,0,1,2,0.795,0.556,0.693,NA,NA,NA,NA,0.693,1,1 (0.182-3.72),1 (0.182-3.72),2.01 (0.034-38.5)
ENSG00000119927,GPAM,"Glycerol-3-phosphate acyltransferase, mitochondrial",8,26,0,0,0,0,0.693,NA,0.693,NA,NA,NA,NA,0.693,1,1.24 (0.483-2.81),1.24 (0.483-2.81),NA
ENSG00000160216,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3,0,2,0,0,1,20,1,0.106,0.693,NA,NA,NA,NA,0.693,1,0 (0-21.4),0 (0-21.4),0.201 (0.00484-1.25)
ENSG00000141837,CACNA1A,"Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",3,12,0,0,53,151,0.921,0.221,0.693,NA,NA,NA,NA,0.693,1,1 (0.182-3.72),1 (0.182-3.72),1.41 (1.01-1.94)
ENSG00000101049,SGK2,Serum/glucocorticoid regulated kinase 2,6,25,0,0,0,0,0.693,NA,0.693,NA,NA,NA,NA,0.693,1,0.963 (0.323-2.41),0.963 (0.323-2.41),NA
ENSG00000173991,TCAP,Titin-cap,2,4,0,0,0,0,0.693,NA,0.693,NA,NA,NA,NA,0.693,1,2.01 (0.182-14),2.01 (0.182-14),NA
ENSG00000169067,ACTBL2,"Actin, beta-like 2",7,35,0,0,0,0,0.693,NA,0.693,NA,NA,NA,NA,0.693,1,0.803 (0.301-1.83),0.803 (0.301-1.83),NA
ENSG00000197776,KLHDC1,Kelch domain containing 1,9,31,0,0,0,0,0.693,NA,0.693,NA,NA,NA,NA,0.693,1,1.17 (0.488-2.51),1.17 (0.488-2.51),NA
ENSG00000115464,USP34,Ubiquitin specific peptidase 34,5,15,0,0,0,0,0.693,NA,0.693,NA,NA,NA,NA,0.693,1,1.34 (0.38-3.87),1.34 (0.38-3.87),NA
ENSG00000094880,CDC23,Cell division cycle 23,1,10,0,0,2,12,0.693,1,0.693,NA,NA,NA,NA,0.693,1,0.401 (0.00925-2.82),0.401 (0.00925-2.82),0.669 (0.0727-3)
ENSG00000104643,MTMR9,Myotubularin related protein 9,2,15,0,0,0,0,0.693,NA,0.693,NA,NA,NA,NA,0.693,1,0.535 (0.0594-2.3),0.535 (0.0594-2.3),NA
ENSG00000172262,ZNF131,Zinc finger protein 131,1,6,0,1,2,2,1,0.106,0.693,NA,NA,NA,NA,0.693,1,0.669 (0.0145-5.51),0.573 (0.0127-4.46),4.01 (0.291-55.3)
ENSG00000137713,PPP2R1B,"Protein phosphatase 2, regulatory subunit A, beta",7,36,0,0,0,0,0.693,NA,0.693,NA,NA,NA,NA,0.693,1,0.78 (0.293-1.78),0.78 (0.293-1.78),NA
ENSG00000197487,GALP,Galanin-like peptide,1,11,0,0,0,0,0.693,NA,0.693,NA,NA,NA,NA,0.693,1,0.365 (0.00848-2.51),0.365 (0.00848-2.51),NA
ENSG00000170892,TSEN34,TSEN34 tRNA splicing endonuclease subunit,1,9,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000120837,NFYB,"Nuclear transcription factor Y, beta",2,6,0,0,3,6,0.817,0.488,0.694,NA,NA,NA,NA,0.694,1,1.34 (0.132-7.48),1.34 (0.132-7.48),2.01 (0.325-9.4)
ENSG00000117322,CR2,Complement component (3d/Epstein Barr virus) receptor 2,11,54,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,0.818 (0.385-1.58),0.818 (0.385-1.58),NA
ENSG00000104818,CGB2,"Chorionic gonadotropin, beta polypeptide 2",0,4,3,13,0,9,0.927,0.212,0.694,NA,NA,NA,NA,0.694,1,0 (0-6.08),0.708 (0.133-2.45),0 (0-2.03)
ENSG00000081386,ZNF510,Zinc finger protein 510,13,52,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,1 (0.501-1.87),1 (0.501-1.87),NA
ENSG00000182551,ADI1,Acireductone dioxygenase 1,2,6,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,1.34 (0.132-7.48),1.34 (0.132-7.48),NA
ENSG00000107742,SPOCK2,"Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",1,9,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000148399,DPH7,Diphthamide biosynthesis 7,8,27,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,1.19 (0.467-2.69),1.19 (0.467-2.69),NA
ENSG00000140406,MESDC1,Mesoderm development candidate 1,0,4,0,0,6,12,1,0.107,0.694,NA,NA,NA,NA,0.694,1,0 (0-6.08),0 (0-6.08),2.01 (0.618-5.78)
ENSG00000161653,NAGS,N-acetylglutamate synthase,3,7,0,0,2,8,0.694,1,0.694,NA,NA,NA,NA,0.694,1,1.72 (0.287-7.54),1.72 (0.287-7.54),1 (0.104-5.03)
ENSG00000113889,KNG1,Kininogen 1,7,38,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,0.739 (0.279-1.68),0.739 (0.279-1.68),NA
ENSG00000175787,ZNF169,Zinc finger protein 169,13,42,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,1.24 (0.612-2.36),1.24 (0.612-2.36),NA
ENSG00000111424,VDR,"Vitamin D (1,25- dihydroxyvitamin D3) receptor",2,6,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,1.34 (0.132-7.48),1.34 (0.132-7.48),NA
ENSG00000174231,PRPF8,Pre-mRNA processing factor 8,6,19,11,40,22,80,0.757,0.702,0.694,NA,NA,NA,NA,0.694,1,1.27 (0.414-3.3),1.16 (0.632-2.01),1.1 (0.655-1.79)
ENSG00000104177,MYEF2,Myelin expression factor 2,2,8,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,1 (0.104-5.03),1 (0.104-5.03),NA
ENSG00000166136,NDUFB8,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa",1,9,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000197381,ADARB1,"Adenosine deaminase, RNA-specific, B1",0,2,0,0,14,90,1,0.107,0.694,NA,NA,NA,NA,0.694,1,0 (0-21.4),0 (0-21.4),0.624 (0.328-1.1)
ENSG00000164885,CDK5,Cyclin-dependent kinase 5,1,9,0,0,10,13,0.694,0.125,0.694,NA,NA,NA,NA,0.694,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),3.09 (1.21-7.63)
ENSG00000177807,KCNJ10,"Potassium inwardly-rectifying channel, subfamily J, member 10",1,2,0,0,0,0,0.694,NA,0.694,NA,NA,NA,NA,0.694,1,2.01 (0.034-38.5),2.01 (0.034-38.5),NA
ENSG00000205863,C1QTNF9B,C1q and tumor necrosis factor related protein 9B,3,9,0,0,19,77,0.695,1,0.695,NA,NA,NA,NA,0.695,1,1.34 (0.233-5.36),1.34 (0.233-5.36),0.99 (0.566-1.65)
ENSG00000174165,ZDHHC24,"Zinc finger, DHHC-type containing 24",1,9,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000184814,PRR23B,Proline rich 23B,7,23,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,1.22 (0.443-2.94),1.22 (0.443-2.94),NA
ENSG00000011566,MAP4K3,Mitogen-activated protein kinase kinase kinase kinase 3,6,20,0,0,9,33,0.722,0.847,0.695,NA,NA,NA,NA,0.695,1,1.2 (0.396-3.11),1.2 (0.396-3.11),1.09 (0.461-2.34)
ENSG00000183087,GAS6,Growth arrest-specific 6,5,15,0,0,1,10,0.695,0.687,0.695,NA,NA,NA,NA,0.695,1,1.34 (0.38-3.87),1.34 (0.38-3.87),0.401 (0.00925-2.82)
ENSG00000074660,SCARF1,"Scavenger receptor class F, member 1",6,20,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,1.2 (0.396-3.11),1.2 (0.396-3.11),NA
ENSG00000106436,MYL10,"Myosin, light chain 10, regulatory",1,9,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000107036,KIAA1432,KIAA1432,11,38,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,1.16 (0.536-2.32),1.16 (0.536-2.32),NA
ENSG00000092203,TOX4,TOX high mobility group box family member 4,1,10,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,0.401 (0.00925-2.82),0.401 (0.00925-2.82),NA
ENSG00000168454,TXNDC2,Thioredoxin domain containing 2 (spermatozoa),7,26,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,1.08 (0.396-2.56),1.08 (0.396-2.56),NA
ENSG00000053328,METTL24,Methyltransferase like 24,5,19,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,1.06 (0.308-2.93),1.06 (0.308-2.93),NA
ENSG00000177300,CLDN22,Claudin 22,5,10,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,2.01 (0.538-6.45),2.01 (0.538-6.45),NA
ENSG00000135324,MRAP2,Melanocortin 2 receptor accessory protein 2,3,11,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,1.09 (0.196-4.14),1.09 (0.196-4.14),NA
ENSG00000154040,CABYR,Calcium binding tyrosine-(Y)-phosphorylation regulated,8,39,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,0.823 (0.332-1.79),0.823 (0.332-1.79),NA
ENSG00000204866,IGFL2,IGF-like family member 2,1,5,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,0.803 (0.017-7.17),0.803 (0.017-7.17),NA
ENSG00000152229,PSTPIP2,Proline-serine-threonine phosphatase interacting protein 2,4,15,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,1.07 (0.259-3.36),1.07 (0.259-3.36),NA
ENSG00000007350,TKTL1,Transketolase-like 1,1,2,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,2.01 (0.034-38.5),2.01 (0.034-38.5),NA
ENSG00000173679,OR1L1,"Olfactory receptor, family 1, subfamily L, member 1",2,5,0,0,0,0,0.695,NA,0.695,NA,NA,NA,NA,0.695,1,1.61 (0.153-9.81),1.61 (0.153-9.81),NA
ENSG00000096093,EFHC1,EF-hand domain (C-terminal) containing 1,10,51,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,0.787 (0.356-1.57),0.787 (0.356-1.57),NA
ENSG00000240583,AQP1,Aquaporin 1 (Colton blood group),3,9,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,1.34 (0.233-5.36),1.34 (0.233-5.36),NA
ENSG00000114942,EEF1B2,Eukaryotic translation elongation factor 1 beta 2,1,9,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000141699,FAM134C,"Family with sequence similarity 134, member C",0,6,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,0 (0-3.41),0 (0-3.41),NA
ENSG00000109181,UGT2B10,"UDP glucuronosyltransferase 2 family, polypeptide B10",7,39,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,0.72 (0.272-1.63),0.72 (0.272-1.63),NA
ENSG00000143776,CDC42BPA,CDC42 binding protein kinase alpha (DMPK-like),7,22,0,0,0,3,0.696,1,0.696,NA,NA,NA,NA,0.696,1,1.28 (0.461-3.1),1.28 (0.461-3.1),0 (0-9.71)
ENSG00000151079,KCNA6,"Potassium voltage-gated channel, shaker-related subfamily, member 6",2,6,0,0,12,55,0.696,0.751,0.696,NA,NA,NA,NA,0.696,1,1.34 (0.132-7.48),1.34 (0.132-7.48),0.876 (0.427-1.66)
ENSG00000124568,SLC17A1,"Solute carrier family 17 (organic anion transporter), member 1",9,32,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,1.13 (0.474-2.42),1.13 (0.474-2.42),NA
ENSG00000174807,CD248,"CD248 molecule, endosialin",1,9,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000169905,TOR1AIP2,Torsin A interacting protein 2,6,19,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,1.27 (0.414-3.3),1.27 (0.414-3.3),NA
ENSG00000159527,PGLYRP3,Peptidoglycan recognition protein 3,5,15,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,1.34 (0.38-3.87),1.34 (0.38-3.87),NA
ENSG00000221882,OR3A2,"Olfactory receptor, family 3, subfamily A, member 2",1,10,0,0,3,8,0.696,0.391,0.696,NA,NA,NA,NA,0.696,1,0.401 (0.00925-2.82),0.401 (0.00925-2.82),1.51 (0.257-6.27)
ENSG00000184647,PRSS55,"Protease, serine, 55",7,27,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,1.04 (0.383-2.45),1.04 (0.383-2.45),NA
ENSG00000183918,SH2D1A,SH2 domain containing 1A,0,1,0,0,6,11,1,0.11,0.696,NA,NA,NA,NA,0.696,1,0 (0-156),0 (0-156),2.19 (0.665-6.46)
ENSG00000167757,KLK11,Kallikrein-related peptidase 11,2,11,0,0,0,0,0.696,NA,0.696,NA,NA,NA,NA,0.696,1,0.73 (0.0786-3.34),0.73 (0.0786-3.34),NA
ENSG00000121417,ZNF211,Zinc finger protein 211,5,21,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,0.956 (0.282-2.6),0.956 (0.282-2.6),NA
ENSG00000101470,TNNC2,Troponin C type 2 (fast),2,9,0,0,2,25,1,0.11,0.697,NA,NA,NA,NA,0.697,1,0.892 (0.0938-4.31),0.892 (0.0938-4.31),0.321 (0.0369-1.29)
ENSG00000144452,ABCA12,"ATP-binding cassette, sub-family A (ABC1), member 12",25,95,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1.06 (0.651-1.66),1.06 (0.651-1.66),NA
ENSG00000005073,HOXA11,Homeobox A11,0,2,0,0,4,37,1,0.11,0.697,NA,NA,NA,NA,0.697,1,0 (0-21.4),0 (0-21.4),0.434 (0.112-1.21)
ENSG00000077238,IL4R,Interleukin 4 receptor,6,22,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1.09 (0.363-2.78),1.09 (0.363-2.78),NA
ENSG00000170935,NCBP2L,Nuclear cap binding protein subunit 2-like,1,10,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,0.401 (0.00925-2.82),0.401 (0.00925-2.82),NA
ENSG00000179262,RAD23A,RAD23 homolog A (S. cerevisiae),2,7,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1.15 (0.116-6.02),1.15 (0.116-6.02),NA
ENSG00000124019,FAM124B,Family with sequence similarity 124B,6,18,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1.34 (0.435-3.52),1.34 (0.435-3.52),NA
ENSG00000189007,ADAT2,"Adenosine deaminase, tRNA-specific 2",3,8,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1.51 (0.257-6.27),1.51 (0.257-6.27),NA
ENSG00000173769,TOPAZ1,Testis and ovary specific PAZ domain containing 1,2,3,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,2.68 (0.223-23.4),2.68 (0.223-23.4),NA
ENSG00000166321,NUDT13,Nudix (nucleoside diphosphate linked moiety X)-type motif 13,6,24,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1 (0.335-2.52),1 (0.335-2.52),NA
ENSG00000166225,FRS2,Fibroblast growth factor receptor substrate 2,1,2,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,2.01 (0.034-38.5),2.01 (0.034-38.5),NA
ENSG00000142731,PLK4,Polo-like kinase 4,7,30,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,0.936 (0.347-2.18),0.936 (0.347-2.18),NA
ENSG00000143125,PROK1,Prokineticin 1,3,10,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1.2 (0.213-4.68),1.2 (0.213-4.68),NA
ENSG00000146576,C7orf26,Chromosome 7 open reading frame 26,1,2,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,2.01 (0.034-38.5),2.01 (0.034-38.5),NA
ENSG00000168658,VWA3B,Von Willebrand factor A domain containing 3B,26,91,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1.15 (0.711-1.79),1.15 (0.711-1.79),NA
ENSG00000165264,NDUFB6,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa",1,9,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000181552,EDDM3B,Epididymal protein 3B,2,6,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1.34 (0.132-7.48),1.34 (0.132-7.48),NA
ENSG00000221972,C3orf36,Chromosome 3 open reading frame 36,3,9,0,0,0,0,0.697,NA,0.697,NA,NA,NA,NA,0.697,1,1.34 (0.233-5.36),1.34 (0.233-5.36),NA
ENSG00000214900,C14orf182,Chromosome 14 open reading frame 182,1,13,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,0.309 (0.00727-2.06),0.309 (0.00727-2.06),NA
ENSG00000101435,CST9L,Cystatin 9-like,1,11,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,0.365 (0.00848-2.51),0.365 (0.00848-2.51),NA
ENSG00000132321,IQCA1,IQ motif containing with AAA domain 1,7,31,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,0.906 (0.337-2.1),0.906 (0.337-2.1),NA
ENSG00000169764,UGP2,UDP-glucose pyrophosphorylase 2,9,31,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.17 (0.488-2.51),1.17 (0.488-2.51),NA
ENSG00000241837,ATP5O,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",1,9,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,0.446 (0.0102-3.22),0.446 (0.0102-3.22),NA
ENSG00000163536,SERPINI1,"Serpin peptidase inhibitor, clade I (neuroserpin), member 1",2,9,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,0.892 (0.0938-4.31),0.892 (0.0938-4.31),NA
ENSG00000184838,PRR16,Proline rich 16,3,9,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.34 (0.233-5.36),1.34 (0.233-5.36),NA
ENSG00000188322,SBK1,SH3 domain binding kinase 1,1,2,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,2.01 (0.034-38.5),2.01 (0.034-38.5),NA
ENSG00000172766,NAA16,"N(alpha)-acetyltransferase 16, NatA auxiliary subunit",18,64,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.19 (0.674-2.02),1.19 (0.674-2.02),NA
ENSG00000181852,RNF41,Ring finger protein 41,1,3,0,0,3,16,0.698,1,0.698,NA,NA,NA,NA,0.698,1,1.34 (0.0255-16.7),1.34 (0.0255-16.7),0.753 (0.141-2.63)
ENSG00000188523,C9orf171,Chromosome 9 open reading frame 171,5,15,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.34 (0.38-3.87),1.34 (0.38-3.87),NA
ENSG00000163162,RNF149,Ring finger protein 149,2,15,0,0,4,5,0.698,0.301,0.698,NA,NA,NA,NA,0.698,1,0.535 (0.0594-2.3),0.535 (0.0594-2.3),3.21 (0.637-14.9)
ENSG00000142453,CARM1,Coactivator-associated arginine methyltransferase 1,1,2,0,0,6,27,0.698,1,0.698,NA,NA,NA,NA,0.698,1,2.01 (0.034-38.5),2.01 (0.034-38.5),0.892 (0.301-2.21)
ENSG00000187616,TMEM8C,Transmembrane protein 8C,3,9,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.34 (0.233-5.36),1.34 (0.233-5.36),NA
ENSG00000123342,MMP19,Matrix metallopeptidase 19,9,32,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.13 (0.474-2.42),1.13 (0.474-2.42),NA
ENSG00000115459,ELMOD3,ELMO/CED-12 domain containing 3,10,37,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.08 (0.481-2.23),1.08 (0.481-2.23),NA
ENSG00000109906,ZBTB16,Zinc finger and BTB domain containing 16,0,4,0,0,4,37,1,0.112,0.698,NA,NA,NA,NA,0.698,1,0 (0-6.08),0 (0-6.08),0.542 (0.166-1.38)
ENSG00000107554,DNMBP,Dynamin binding protein,17,64,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.07 (0.585-1.84),1.07 (0.585-1.84),NA
ENSG00000174502,SLC26A9,"Solute carrier family 26 (anion exchanger), member 9",6,19,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.27 (0.414-3.3),1.27 (0.414-3.3),NA
ENSG00000198668,CALM1,"Calmodulin 1 (phosphorylase kinase, delta)",0,1,0,0,2,1,1,0.112,0.698,NA,NA,NA,NA,0.698,1,0 (0-156),0 (0-156),8.03 (0.418-472)
ENSG00000127743,IL17B,Interleukin 17B,2,7,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.15 (0.116-6.02),1.15 (0.116-6.02),NA
ENSG00000162066,AMDHD2,Amidohydrolase domain containing 2,9,47,0,0,1,3,0.698,0.623,0.698,NA,NA,NA,NA,0.698,1,0.768 (0.331-1.59),0.768 (0.331-1.59),1.34 (0.0255-16.7)
ENSG00000100934,SEC23A,Sec23 homolog A (S. cerevisiae),10,35,0,0,0,0,0.698,NA,0.698,NA,NA,NA,NA,0.698,1,1.15 (0.506-2.37),1.15 (0.506-2.37),NA
ENSG00000169718,DUS1L,Dihydrouridine synthase 1-like (S. cerevisiae),5,27,0,0,4,18,0.698,1,0.698,NA,NA,NA,NA,0.698,1,0.743 (0.223-1.96),0.743 (0.223-1.96),0.892 (0.22-2.71)
